,SMILES,Molskill
86,O=C(C1=CC(OC)=C2N=C(F)C(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,6.441439
87,O=C(C1=CC(OC)=C2N=C(C)C(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,5.8951178
88,O=C(C1=CC(OC)=C2N=C(OC)C(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,3.3223724
89,O=C(C1=CC2=CC(C)=NN=C2C(OC)=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,9.140206
90,O=C(C1=CC2=CC(CC)=NN=C2C(OC)=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,10.164418
91,O=C(C1=CC2=CC(C3CC3)=NN=C2C(OC)=C1)NC[C@](O)(C4=NC(C5=CC=C(F)C=C5)=C(F)C(C(C)(O)C)=C4)C(F)(F)F,10.0268755
92,O=C(C1=CC2=CC(F)=NN=C2C(OC)=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,8.465777
93,O=C(C1=CC2=CC(Cl)=NN=C2C(OC)=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,5.851534
94,O=C(C1=CC2=CC(C3CC3)=NN=C2C(OC)=C1)NC[C@](O)(C4=NC(C5=CC=C(F)C=C5)=C(F)C(C(C)(O)C)=C4)C(F)(F)F,10.0268755
95,O=C(C1=CC2=CC(OC(F)F)=NN=C2C(OC)=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,11.197404
96,N1=C(N2CCN(C(C=C)=O)C[C@@H]2C)c(cc3Cl)c(nc3c(c(F)ccc4)c4OCCc(c56)cccc5)N6C1=O,9.675752
97,N1=C(N2CCN(C(=O)C=C)C[C@@H]2C)c(cc3F)c(nc3c(c(F)ccc4)c4OCCCOc(c56)ccnc5C(C)C)N6C1=O,6.7455173
98,N1=C(N2CCN(C(=O)C=C)C[C@@H]2C)c(cc3F)c(nc3c(c(F)ccc4)c4OCCCCc(c56)ccnc5C(C)C)N6C1=O,12.127141
99,C=CC(N(C[C@@H](N1C2=NC(N(c(c23)nc(c(c3)F)c4c(cccc4F)OCCC5)c6c5ccnc6C(C)C)=O)C)CC1)=O,10.67692
100,C=CC(N([C@@H](CN1C2=NC(N(c(c23)nc(c(c3)F)c4c(cccc4F)OCCC5)c6c5ccnc6C(C)C)=O)C)C[C@@H]1C)=O,10.491538
101,c1(F)cc2c(N(c3c4ccnc3C(C)C)C(=O)N=C2N5C[C@@H](C)N(C(C=C)=O)C[C@@H]5C)nc1c6c(cccc6F)OCCO4,7.6928
102,c1(F)cc2c(N(c3c4ccnc3C(C)C)C(=O)N=C2N5C[C@@H](C)N(C(C=C)=O)C[C@@H]5C)nc1c6c(cccc6F)OCC(F)(F)CC4,5.8869004
103,c1(F)cc2c(N(c3c4ccnc3C(C)C)C(=O)N=C2N5C[C@@H](C)N(C(C=C)=O)C[C@@H]5C)nc1c6c(ccc(F)c6F)OCC(F)(F)CC4,9.900331
104,c1(F)cc2c(N(c3c(CCC(F)(F)COc4c5c(F)cc(F)c4)ccnc3C(C)C)C(=O)N=C2N6[C@@H](C)CN(C(=O)C=C)[C@H](C)C6)nc15,9.92124
105,c1(F)cc2c(N(c3c(OCCOc4c5c(F)c(F)cc4)ccnc3C(C)C)C(=O)N=C2N6[C@@H](C)CN(C(=O)C=C)[C@H](C)C6)nc15,10.513419
106,c1(F)cc2c(N(c3c(OCCOc4c5c(F)cc(F)c4)ccnc3C(C)C)C(=O)N=C2N6[C@@H](C)CN(C(=O)C=C)[C@H](C)C6)nc15,11.306077
107,c1(F)cc2c(N(c3c4ccnc3C(C)C)C(=O)N=C2N5C[C@@H](C)N(C(C=C)=O)C[C@@H]5C)nc1c6c(c(F)ccc6F)OCCO4,6.8505464
108,c1(Cl)cc2c(N(c3c4ccnc3C(C)C)C(=O)N=C2N5C[C@@H](C)N(C(C=C)=O)C[C@@H]5C)nc1c6c(c(F)ccc6F)OCCO4,5.8039174
109,N1=C(N2C[C@@H](C)N(C(C=C)=O)C[C@@H]2C)c(cc3C)c(nc3c(c4OCCOc5c6c(C(C)C)ncc5)c(F)ccc4F)N6C1=O,8.40966
110,CC1=CC=C(C(NC2=CC(N(C)C)=CC=C2)=O)C=C1C#CC3=CN=C4N3N=CC=C4,8.16441
111,CC1=CC=C(C(NC2=CC=C3C(N=CC=C3)=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,14.341483
112,CC1=CC=C(C(NC2=CC(N(C)C=C3)=C3C=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,11.612798
113,CC1=CC=C(C(NC2=CC=C(C(C(F)(F)F)=C3)C(OC3=O)=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,20.712961
114,CC1=CC=C(C(NC2=CC=C3C(C(NC=C3)=O)=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,22.64215
115,CC1=CC=C(C(NC2=CC=C3C(C(NCC3)=O)=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,10.027591
116,CC1=CC=C(C(NC2=CC=C(OCCO3)C3=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,9.19771
117,CC1=CC=C(C(NC2=CC=C(OC(F)(F)O3)C3=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,6.556254
